what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334763583225
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334763584506
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334763584521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334763594006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334763596959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334763606662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1334763608146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334763610225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334763617318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334763633209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334763635146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334763691037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334763693287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1334763693318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334763697928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334763700818
opened,editor,org.eclipse.dltk.ruby.ui,3.0.0.v20110423,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1334764214605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334764214683
activated,editor,org.eclipse.dltk.ruby.ui,3.0.0.v20110423,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1334764214698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334764248261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334764269511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1334764343137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1334764343652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334764346277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1334764346340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334764361809
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334764401605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334764421340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334764852559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334764887668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334764935949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334765116590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766015753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766017909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766025612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334766044003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766047222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766069426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766072723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766099801
activated,editor,org.eclipse.dltk.ruby.ui,3.0.0.v20110423,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1334766099958
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766099958
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766103879
activated,editor,org.eclipse.dltk.ruby.ui,3.0.0.v20110423,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1334766106473
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766112911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334766124755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766125692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766129333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1334766130614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334766131270
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766152771
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766154974
activated,editor,org.eclipse.dltk.ruby.ui,3.0.0.v20110423,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1334766155896
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766166646
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766183552
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766183584
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766195615
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766198506
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766202428
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766207975
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766207975
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766210100
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766212865
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766217147
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766220412
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766225022
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766227694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766229350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766337992
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766338101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766348554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766445618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766445680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766453024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766453055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766460446
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766460571
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766460571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334766507790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766508618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766513681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1334766514962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1334766521634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334766522712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766524821
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1334766584681
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1334766584744
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1334766584822
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1334766584931
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1334766585322
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1334766585494
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1334766585525
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1334766585837
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1334766585900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766586072
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1334766586494
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1334766595634
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1334766601681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334766603025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1334766603041
